,ci_test_results,z_test_results,z_test_p_values,mean_diff
BIRC7,False,False,0.753,-0.446
VPS16,True,True,0.0,-12.86
ELAVL4,False,False,0.473,-0.479
MOCS1,False,False,0.131,2.682
CALM1,True,True,0.0,-146.485
MUC15,False,False,0.134,2.206
OR2A14,False,False,0.323,-0.573
DADB-127H9.10,False,False,0.51,0.42
LYPD6,False,False,0.999,0.001
ADCK4,True,True,0.006,-2.431
SSNA1,True,True,0.0,-10.916
ZBTB1,False,False,0.062,-6.098
DLG2,False,False,0.106,-2.616
TMEM171,False,False,0.997,-0.003
SLC34A2,False,False,0.647,0.502
KCNH4,False,False,0.456,0.319
GFRAL,False,False,0.42,-0.562
CTDNEP1,False,True,0.012,-5.686
AVEN,False,False,0.161,-1.611
PSD4,True,True,0.0,-20.505
UBALD1,True,True,0.0,-7.386
DUSP14,False,False,0.083,-1.886
UBE2D3,False,True,0.007,-18.836
C6orf223,False,False,0.424,0.243
RPUSD1,True,True,0.0,-4.936
AL357140.1,False,False,0.983,0.007
HSF5,False,True,0.032,1.151
ZNF358,False,False,0.666,-0.778
MAGEB17,False,False,0.625,1.037
NT5C3A,False,True,0.04,11.031
PYDC1,False,False,0.22,1.12
PEBP4,False,False,0.083,0.849
C4orf47,False,False,0.976,-0.03
SUGT1,False,False,0.145,-2.151
PIF1,False,False,0.406,1.553
PCDHB5,False,False,0.842,0.271
LLGL1,False,True,0.009,-3.256
TRIO,True,True,0.0,10.863
GPR50,False,False,0.346,-0.878
OLAH,False,False,0.15,2.744
TRIM49B,False,False,0.083,-3.298
C9orf114,True,True,0.0,-4.214
PRPF4B,False,False,0.756,0.49
CALML4,False,False,0.478,-0.386
TOMM5,False,False,0.854,0.774
FLT3LG,True,True,0.001,-9.348
ZNF595,False,False,0.151,-2.723
KIFAP3,True,True,0.003,-2.885
ARL10,False,False,0.609,0.368
MR1,True,True,0.0,-5.285
ARNTL,True,True,0.0,-18.858
APLF,False,False,0.298,0.628
SSTR4,False,False,0.631,-0.313
ASPRV1,False,False,0.677,-0.269
CCL15,False,False,0.386,0.854
RPS3,True,True,0.0,201.825
POLR3H,False,False,0.572,0.625
DUOXA2,False,False,0.587,0.323
DDX4,False,False,0.94,0.103
VLDLR,False,False,0.505,0.889
CEP97,False,False,0.188,0.775
ADARB2,False,False,0.585,0.667
ASCC1,False,False,0.772,-0.338
IFT46,False,False,0.904,0.1
APBA2,True,True,0.0,-44.882
ARHGEF28,False,False,0.065,-3.35
LAMC3,False,False,0.691,-0.247
CHKA,False,False,0.617,0.848
GPR6,False,False,0.085,-1.198
DBR1,False,False,0.895,-0.179
KRTAP10-2,False,False,0.156,1.799
GLDN,False,False,0.964,0.08
ITGA9,False,False,0.11,1.259
MORC3,False,False,0.2,1.548
FOXC2,False,False,0.782,-0.284
LRRC74A,False,False,0.723,0.086
ARSD,True,True,0.003,-1.894
CSNK1D,True,True,0.0,-9.19
ATP1A4,False,False,0.105,1.489
IGSF6,False,False,0.051,-5.848
CCK,False,False,0.272,-2.115
HM13,False,False,0.77,-1.254
ZSWIM2,False,False,0.466,0.864
TOLLIP,True,True,0.008,-4.418
ZBTB33,False,False,0.832,-0.312
CLEC1B,False,True,0.018,-1.356
UBXN6,True,True,0.0,-6.629
PLEKHM2,True,True,0.0,10.049
FZD1,False,False,0.551,0.814
OR52D1,False,False,0.749,0.418
CUL7,False,False,0.273,1.885
OR6P1,False,False,0.243,-1.241
IMPDH1,True,True,0.0,-9.358
PIR,False,True,0.018,5.001
ZNF106,False,False,0.672,0.681
CCDC71,False,False,0.981,0.02
FABP12,False,False,0.744,-0.265
RP11-1070B7.1,False,False,0.504,-0.348
PELI2,False,False,0.051,-2.585
PLAGL2,False,False,0.84,-0.314
PRELID2,False,False,0.171,1.021
SREBF2,True,True,0.0,10.505
TAF10,False,True,0.012,-10.967
POMT2,False,False,0.051,1.36
CREBL2,False,False,0.238,-0.763
ACRC,False,False,0.3,1.96
SLCO4A1,False,False,0.341,2.727
IDH3G,True,True,0.0,-12.271
NCSTN,False,False,0.366,-2.33
SCFD2,False,False,0.114,-1.279
NUP98,False,False,0.896,-0.275
BRWD1,False,False,0.185,-1.411
COMMD1,False,True,0.037,-2.832
CKAP4,False,False,0.085,6.029
MSH4,False,False,0.393,0.89
NR3C1,True,True,0.0,-10.318
CADPS,False,False,0.919,0.126
GUCY2F,True,True,0.028,2.782
UBE2K,False,False,0.228,-2.232
SPOCK3,False,False,0.789,0.382
HBP1,False,True,0.031,-5.914
MKRN2,False,True,0.014,-4.275
OR2G2,False,False,0.379,-0.278
SVOPL,False,False,0.247,0.36
MACC1,True,True,0.005,2.126
ZNF43,False,False,0.153,1.109
PIAS2,False,False,0.336,-1.166
ERP44,False,False,0.05,-3.584
DCHS2,False,False,0.589,0.359
HEPN1,False,False,0.565,0.49
GPR119,False,False,0.054,-3.057
ZFP1,True,True,0.0,-1.419
CH507-9B2.3,False,False,0.059,4.707
DSG4,False,False,0.325,-1.466
TRABD,True,True,0.0,-13.227
TXN2,False,True,0.027,-4.691
KPNA6,False,False,0.206,-1.124
HLA-F,True,True,0.0,-79.381
DOHH,False,False,0.967,0.072
SLC5A11,False,False,0.156,2.16
NLRP10,False,False,0.407,1.463
ARV1,False,False,0.695,0.454
EFNA3,False,False,0.466,0.625
USP35,False,False,0.401,-0.824
DCSTAMP,False,False,0.11,-2.387
CASP10,True,True,0.0,-8.062
MAPK8IP3,False,False,0.075,4.571
NTPCR,False,False,0.831,0.292
PLOD1,True,True,0.003,-12.082
TNNI1,False,False,0.793,-0.154
TRPM5,False,False,0.941,-0.099
UBE2J1,True,True,0.0,34.5
SPRR1B,False,False,0.926,-0.178
PDC,False,False,0.314,1.176
OPN1SW,False,False,0.233,-1.208
KIF3C,False,False,0.314,1.534
SSH2,False,False,0.402,-1.852
FGA,False,False,0.359,1.216
PLEKHN1,False,False,0.349,1.324
B3GAT3,True,True,0.0,-6.433
CACYBP,False,False,0.421,-8.746
DISP2,False,False,0.157,-1.413
ZDBF2,False,False,0.232,1.751
ICA1,False,False,0.646,1.152
CERS4,False,False,0.075,-3.919
NPY,False,False,0.055,18.423
PRKD1,False,False,0.477,-0.663
LPAR2,False,True,0.036,-6.904
ANKRD52,False,False,0.355,1.742
SAMD3,True,True,0.0,-80.945
HEATR4,False,False,0.716,0.192
CLPTM1,False,False,0.131,-3.237
E2F7,False,False,0.637,-0.452
MC5R,False,False,0.407,-0.777
SLC9A3R2,False,False,0.635,-2.414
TESC,False,True,0.035,-5.107
ZFPM1,True,True,0.0,-9.735
CTAGE8,False,False,0.132,2.91
ZNF646,False,False,0.105,-1.491
OR10T2,False,False,0.494,-0.177
CAPN11,False,False,0.085,3.201
IYD,False,False,0.989,-0.011
TOP1,True,True,0.001,5.69
CALY,False,False,0.764,-0.24
WDR17,True,True,0.002,2.32
BTRC,False,False,0.272,-1.136
HAUS6,False,True,0.04,-2.247
BDP1,False,False,0.536,0.369
TIPARP,True,True,0.0,-16.694
H2AFB3,False,False,0.755,0.271
SHISA6,False,False,0.127,1.909
CETN1,False,False,0.257,-1.063
NKX2-8,False,False,0.979,-0.008
SCGB2A2,False,False,0.2,93.081
NAT1,False,False,0.431,1.207
RARG,True,True,0.0,-4.164
TM9SF4,False,False,0.149,-2.458
TRMT10B,False,False,0.282,-1.529
STYX,False,False,0.815,-0.304
ANGPT2,False,False,0.546,1.646
ADGRF1,False,False,0.246,2.036
UVSSA,True,True,0.0,-3.928
CCDC70,False,False,0.066,2.546
TFDP1,True,True,0.001,7.132
AC009060.2,False,True,0.009,-5.674
XKR6,False,False,0.875,-0.134
DHX40,False,False,0.465,-1.5
DYNLT3,False,False,0.288,-0.991
PARP11,False,False,0.843,0.241
EXOSC5,False,False,0.291,1.369
NPHP4,False,False,0.255,1.857
MAL,False,False,0.277,3.728
RAC2,True,True,0.0,-187.746
GRINA,False,False,0.589,3.185
CACNA1C,False,True,0.05,-3.719
ARRB2,True,True,0.0,-65.261
CDYL,False,False,0.348,-0.909
CFD,False,False,0.132,-8.83
GRIA2,False,False,0.542,0.796
RGS19,True,True,0.0,-10.549
IQSEC1,True,True,0.0,12.927
VSIG10,False,False,0.324,-0.659
PTPRK,True,True,0.007,4.485
TRMT2A,True,True,0.0,-4.235
AUNIP,False,False,0.242,1.37
CAPN15,True,True,0.0,-28.717
SETD1B,False,True,0.017,-2.483
RP11-569G13.3,False,False,0.15,-0.662
GH2,False,False,0.051,4.426
POMGNT2,False,False,0.428,-1.236
UBE2U,False,False,0.322,0.781
TXLNB,False,False,0.124,1.129
MED26,False,False,0.194,0.665
LENG9,False,False,0.444,0.774
AC092718.1,False,False,0.469,0.884
GUCA1A,False,False,0.219,1.721
FAM24A,True,True,0.023,-1.788
SCYL1,False,False,0.072,-2.428
PLEKHH3,False,False,0.446,0.876
CHMP6,True,True,0.0,-6.489
CERS6,False,False,0.736,-0.508
MYH14,False,False,0.149,1.453
CUL3,True,True,0.0,6.976
DPY19L3,False,False,0.374,-0.892
PLEKHS1,False,False,0.067,1.792
CYTH3,False,True,0.012,-3.645
PFN4,False,False,0.981,-0.035
LRRC7,False,False,0.286,0.484
SMAD9,False,False,0.744,-0.314
CNR2,True,True,0.0,7.766
DLGAP5,False,False,0.669,0.776
AGGF1,False,False,0.946,-0.12
ZNF14,False,False,0.768,0.608
DGKA,False,False,0.132,5.13
ALOX15,False,False,0.126,4.526
OR2C3,False,False,0.636,-0.145
LPP,False,False,0.099,-2.243
LINC00493,False,True,0.019,-5.774
MAGEA2B,False,False,0.771,0.331
CCT2,True,True,0.001,13.561
SLC11A1,False,True,0.039,-2.891
C9orf50,False,False,0.577,0.825
HDAC7,True,True,0.0,-13.283
SLFN14,False,False,0.275,1.34
YPEL4,False,False,0.539,-0.798
AARD,False,False,0.084,-1.165
OR2AP1,False,False,0.736,-0.166
KHDRBS3,False,False,0.801,0.193
NOL9,False,False,0.153,2.089
OTUD3,False,False,0.866,0.167
C11orf21,True,True,0.0,-50.528
C19orf68,False,False,0.994,-0.008
WDR27,False,False,0.198,1.388
CUTA,True,True,0.0,-18.263
LRRC23,False,False,0.362,-0.68
MARCH7,False,False,0.184,-2.302
C1orf94,False,False,0.381,0.808
UCKL1,False,False,0.484,1.078
LYRM4,True,True,0.006,4.16
STK11,True,True,0.0,-4.569
RP11-1236K1.1,False,False,0.493,0.806
DMRTC1B,False,False,0.494,-0.547
IL31RA,False,False,0.322,0.469
C9orf171,False,False,0.78,0.404
DIO3,False,False,0.254,2.321
SEC24D,False,False,0.474,-0.929
UBL4B,False,False,0.274,2.181
SRP9,False,True,0.006,-18.458
OR5T1,False,False,0.274,-2.003
RTN4RL2,False,False,0.577,0.912
COL7A1,False,False,0.812,0.403
RNF8,True,True,0.002,-2.191
ATP6V1D,True,True,0.003,-6.883
IL17RD,False,False,0.131,1.731
ATP6V0B,False,False,0.305,-5.413
PURB,False,False,0.405,-0.438
VPS41,False,False,0.743,-0.507
FBXO27,False,False,0.295,-1.88
ABCA10,False,False,0.966,0.022
SLFN13,True,True,0.0,-42.311
ME2,False,False,0.745,-0.578
STPG1,False,True,0.041,1.485
DDX19B,True,True,0.0,-28.123
SLC24A1,False,False,0.135,0.563
FAF1,False,False,0.849,-0.349
C19orf25,True,True,0.003,-4.342
MAN2A2,True,True,0.0,-9.86
GTPBP1,False,False,0.284,-1.909
IVD,False,True,0.018,-4.875
RAP2A,True,True,0.004,-3.503
RPL4,True,True,0.0,250.365
IGSF11,False,False,0.115,1.698
LRIG2,False,False,0.872,0.211
MLEC,False,False,0.298,-2.423
LYSMD4,False,False,0.538,0.755
RWDD3,False,False,0.801,0.451
BET1L,False,False,0.154,-1.273
TBX10,False,False,0.096,-0.516
ZNF217,False,False,0.195,-1.811
PHAX,False,False,0.894,-0.164
CDK6,True,True,0.0,-6.607
HSPA1B,True,True,0.0,-485.579
NOS1AP,False,False,0.741,-0.567
RIPPLY3,False,False,0.265,-0.96
NLRC4,False,False,0.545,0.943
UCN3,False,False,0.569,0.333
STC1,False,False,0.223,-3.332
TUBB8P12,False,False,0.098,0.851
PREPL,False,False,0.568,-1.089
FOXD4L4,False,False,0.225,0.969
NAT10,False,False,0.443,1.394
DEFB128,False,False,0.246,1.829
BEST4,False,False,0.441,-1.217
OR6N1,False,False,0.216,-1.344
ERH,True,True,0.002,11.454
WDR26,True,True,0.0,-6.218
CERS3,False,False,0.197,1.048
MBTPS2,False,False,0.276,0.605
FAM43A,False,False,0.156,-2.971
CYB5A,False,False,0.1,6.774
ZNF17,False,True,0.023,-0.949
CALR,False,True,0.016,-49.811
GSTA5,False,False,0.176,1.381
ACP6,False,False,0.36,1.534
TFCP2,False,False,0.103,-1.949
GJB2,False,False,0.701,0.66
MYOZ1,False,False,0.952,-0.032
TPSAB1,True,True,0.019,-2.045
PTGDR2,False,False,0.983,-0.021
LSMEM1,False,False,0.073,-0.511
PRAMEF26,False,False,0.142,1.074
MLLT6,True,True,0.0,-47.432
C7orf77,False,False,0.85,0.362
PHF2,True,True,0.001,-3.588
EBP,True,True,0.0,-11.363
SEPT5,False,False,0.671,-0.499
ZNF592,False,False,0.065,2.864
TAF1A,False,False,0.139,1.603
LIN54,False,False,0.119,-1.399
NISCH,True,True,0.0,-13.756
FAM204A,True,True,0.005,-3.1
OR4B1,False,True,0.05,4.5
FOXL2NB,False,False,0.727,0.569
FLT1,False,False,0.14,-2.604
L3MBTL1,False,False,0.516,-0.88
IFNAR2,True,True,0.0,-14.842
SLC35F1,False,False,0.207,0.793
ST14,False,False,0.084,5.256
AIM1L,False,False,0.316,0.408
MYCBP,False,False,0.103,-2.365
MREG,False,True,0.013,3.124
ABHD16A,False,False,0.175,-1.23
TMEM135,False,False,0.277,-1.987
AC243829.1,True,True,0.0,-348.766
LCORL,False,False,0.338,-1.32
ZFP37,False,False,0.936,-0.099
MTERF2,True,True,0.0,-6.622
NELL2,False,False,0.636,-0.813
PRSS53,False,False,0.9,-0.158
SULT2A1,False,False,0.162,-2.495
TPD52L3,False,False,0.054,2.579
IGFBP2,False,False,0.423,-5.255
CRCP,True,True,0.0,-5.801
PSMD3,False,False,0.559,3.719
KIR2DL5A,True,True,0.0,-4.955
MORC1,False,False,0.99,-0.008
STARD13,False,False,0.569,-0.405
EPB41L1,False,False,0.069,4.862
AC213203.1,False,False,0.641,0.226
PLCXD3,False,False,0.554,0.549
OXGR1,False,False,0.165,1.586
SERPINA2,False,False,0.487,-0.712
CPXCR1,False,False,0.539,-0.357
PRR15L,False,False,0.226,2.145
PCDHA3,False,False,0.505,0.923
EN1,False,False,0.65,0.226
AGTR2,False,False,0.214,-0.592
KNOP1,False,False,0.566,0.416
PHLDB3,False,False,0.344,-1.328
GBP7,False,False,0.867,0.102
TBC1D17,False,False,0.164,1.387
ZNF506,False,False,0.682,-0.606
DACT3,False,True,0.022,-1.746
CRIM1,False,False,0.784,-1.268
UGT2B28,False,False,0.229,1.734
MYOM1,False,False,0.219,-1.274
CELF5,False,False,0.558,0.674
ARSB,False,False,0.429,-1.443
PDCD4,True,True,0.003,-11.217
REC8,False,False,0.145,-2.022
CCNJ,False,False,0.127,3.007
LAYN,False,False,0.162,-2.197
EZH2,False,False,0.796,-0.464
ANKRD10,False,False,0.993,-0.034
NPRL2,True,True,0.004,-2.129
AP3M1,False,False,0.305,-1.245
ADCY3,False,True,0.007,3.856
CAPZA2,False,True,0.012,-61.015
FAM90A1,False,False,0.475,1.45
LANCL2,False,False,0.051,1.31
UBE3D,False,False,0.596,0.982
WDR48,False,False,0.255,-1.479
TCEA2,False,False,0.419,1.198
DHH,False,False,0.27,-1.403
DERA,False,True,0.023,-2.668
ZNF430,False,False,0.613,-0.448
FCRL5,True,True,0.0,26.088
ITIH6,False,False,0.526,-0.638
NHP2L1,False,False,0.062,6.518
KRTAP10-3,False,False,0.805,-0.144
CXCL10,False,False,0.356,27.888
PLCH1,False,False,0.807,-0.114
RAB1B,True,True,0.0,-22.453
C12orf75,True,True,0.0,-42.37
RHOA,False,True,0.006,-31.902
ATRX,False,False,0.525,-1.297
OR51G1,False,False,0.624,0.386
TTC38,True,True,0.0,-96.924
C6orf15,False,False,0.232,2.658
PCDH15,False,False,0.841,0.14
NOVA2,False,False,0.267,1.958
PLA2G4C,False,False,0.062,1.778
CACTIN,True,True,0.002,-5.396
RXRG,False,False,0.738,-0.531
NDUFB10,False,False,0.177,-6.067
EIF4EBP2,True,True,0.0,-10.731
TOM1,True,True,0.0,-4.448
C6,False,False,0.972,-0.042
NCL,False,False,0.536,-8.636
ENDOV,False,False,0.514,1.105
CTHRC1,False,False,0.756,1.184
PRELP,False,False,0.965,-0.063
ZNF324,False,False,0.059,-3.119
IL22RA1,False,False,0.564,-0.719
HFE,False,False,0.157,2.697
SERPINH1,False,True,0.017,-21.019
ATP6AP1L,False,False,0.651,0.586
RABL3,False,False,0.165,2.944
C10orf53,False,False,0.214,1.03
GPR152,False,False,0.846,0.121
ARMC8,False,True,0.011,-3.651
BRD1,False,False,0.083,-3.04
MTX1,False,False,0.693,0.705
CCL4L2,True,True,0.005,-90.067
MAGEF1,False,False,0.907,-0.233
FGFBP3,False,False,0.554,0.921
POLD2,True,True,0.004,17.789
IBSP,False,False,0.249,-1.296
TBK1,True,True,0.0,-6.207
CAB39L,False,False,0.406,0.753
PTAR1,False,False,0.221,-1.772
MYL6,True,True,0.0,-362.064
ZBTB34,False,False,0.466,1.36
ZFC3H1,False,False,0.701,0.557
HYI,False,False,0.496,-1.489
KLRC2,True,True,0.0,-43.875
HRK,True,True,0.004,3.604
CCBL2,False,False,0.256,-1.748
GPR182,False,False,0.686,-0.146
C21orf91,False,False,0.121,-2.756
ZNF879,False,False,0.292,-1.408
NACA,True,True,0.0,119.88
PLCE1,False,True,0.023,1.686
DNAJB7,False,False,0.618,-1.098
GPX5,False,False,0.19,1.349
DPCD,False,False,0.186,1.953
SMYD1,False,False,0.924,-0.13
CBX8,False,False,0.114,-1.21
PBDC1,True,True,0.0,-4.513
ACKR3,False,False,0.17,-3.177
DRC7,False,False,0.65,-0.693
BPIFB3,False,False,0.159,1.588
FOXN1,False,False,0.527,-0.511
GAA,True,True,0.001,-6.454
TRAPPC1,True,True,0.0,-44.113
DBF4B,False,False,0.135,1.788
NDST3,False,False,0.492,-0.327
VPS33B,False,False,0.848,-0.142
MAGEA9,False,False,0.87,-0.157
TRIM45,False,False,0.371,-1.041
OR1I1,False,False,0.228,0.719
TRABD2B,False,False,0.772,0.042
PILRA,False,False,0.064,-8.587
UNC5A,False,False,0.355,0.555
LAMP3,False,False,0.297,2.172
GNPNAT1,False,True,0.044,2.04
RRP8,True,True,0.0,-2.352
BBS1,False,False,0.541,-0.254
CR1L,False,False,0.513,0.441
ELOVL2,False,False,0.928,0.122
NTN3,False,False,0.355,1.315
GPATCH3,False,True,0.026,-4.051
MMD,False,False,0.181,2.467
MTMR10,True,True,0.004,-11.131
TNFRSF13C,True,True,0.0,73.33
ZNF675,True,True,0.003,2.313
WNK1,False,True,0.017,-8.197
FAM25A,False,False,0.389,-0.683
AMIGO3,False,False,0.462,-1.194
PLA2G2F,False,False,0.445,0.6
PLK4,False,False,0.067,2.453
ZNF571,True,True,0.006,-5.231
RCC2,False,False,0.619,0.924
SNAP29,True,True,0.0,-10.176
OR5AR1,False,False,0.634,0.513
S100A4,True,True,0.0,-300.333
CCDC185,False,False,0.996,-0.007
DPYSL3,False,False,0.751,0.67
TCP10,False,False,0.85,-0.382
TRIM27,False,False,0.157,-1.718
ZNF740,False,False,0.408,1.379
RBM12,False,False,0.092,3.649
CDK11B,True,True,0.0,-7.949
IL1F10,False,False,0.212,-1.053
MTHFD2,False,False,0.083,3.892
MRPL49,False,False,0.84,-0.549
NMNAT1,False,False,0.092,-1.684
FAAP20,False,True,0.049,-2.816
TFB2M,False,False,0.074,3.246
STAP2,False,False,0.786,-0.395
DPYSL4,False,False,0.545,-0.177
SACS,False,False,0.925,-0.054
RLN1,False,False,0.698,0.268
ATAD3A,False,False,0.531,-0.745
MAPRE3,False,False,0.534,1.118
TAAR2,False,False,0.474,-0.547
ITGA7,False,True,0.032,-3.551
EIF3CL,False,False,0.297,-1.526
DCP1B,False,False,0.579,0.56
EVA1C,True,True,0.0,-2.486
CWC27,False,False,0.806,-0.223
CTPS1,False,False,0.506,0.883
KIAA1683,False,True,0.041,3.063
C19orf57,False,False,0.517,-0.664
PABPN1L,False,False,0.077,1.124
CACNA1S,False,False,0.466,1.401
MOG,False,False,0.423,1.607
ROPN1B,False,False,0.543,0.921
ICA1L,False,False,0.987,0.021
ZNF16,False,False,0.661,-0.467
LRRC34,False,False,0.871,-0.123
PCMT1,True,True,0.0,-6.92
SIVA1,True,True,0.003,-9.408
COX6B1,False,False,0.631,7.135
ECE2,False,False,0.432,0.309
OR2AJ1,False,False,0.992,-0.007
PTPN12,True,True,0.0,-171.158
ADGRD1,False,False,0.638,-0.505
HSD17B7,False,False,0.192,-2.397
BTNL2,False,True,0.007,1.465
PPRC1,False,False,0.684,-0.74
MAST2,False,False,0.154,-0.974
DPYSL5,True,True,0.015,1.442
ZNF91,False,False,0.317,-1.254
KLHL34,False,False,0.095,2.535
SLC9A4,False,False,0.624,-0.464
TMEM108,False,False,0.657,-0.192
FAR1,True,True,0.004,-3.962
RFNG,False,True,0.023,-1.438
GBX2,False,False,0.387,-0.437
RORC,False,True,0.035,-1.473
IFNW1,True,True,0.0,71.107
ZBED9,False,False,0.898,0.277
PCP2,False,True,0.042,-2.134
RYR3,False,False,0.5,0.482
H3F3A,False,False,0.274,-32.453
LIMS3L,False,False,0.324,-0.306
SOX9,False,True,0.012,3.089
METAP1D,False,False,0.448,0.653
C6orf52,False,False,0.964,0.088
RGPD8,False,False,0.221,1.423
F3,False,False,0.051,12.49
UGT1A5,False,False,0.508,0.589
NAGPA,True,True,0.006,-2.578
PGK1,False,False,0.093,-6.089
AMER1,False,False,0.313,-0.843
CCL14,False,False,0.967,-0.151
MEPCE,True,True,0.0,6.237
GIN1,False,False,0.387,-0.905
TTC6,False,False,0.498,0.469
HEATR9,True,True,0.0,-2.131
HABP4,False,False,0.354,0.54
PROC,False,False,0.269,-1.454
DSCR3,True,True,0.0,-7.031
C8orf89,False,False,0.135,1.251
LIMS2,False,False,0.322,-1.572
EIF6,False,False,0.86,0.772
KIAA1211L,False,False,0.227,-1.203
OSR1,False,False,0.566,-0.701
HES4,False,False,0.918,-0.139
CPTP,False,False,0.126,3.146
SYVN1,True,True,0.0,14.645
ZFP30,False,False,0.35,-0.701
KRAS,False,False,0.635,-0.446
RBM19,False,False,0.9,0.114
CEBPZOS,True,True,0.001,-2.914
REM1,False,False,0.694,0.674
RHBG,False,False,0.306,1.135
PNOC,True,True,0.0,28.847
ZIC2,False,False,0.813,0.353
TRIM59,True,True,0.001,-2.577
OSBPL11,True,True,0.004,2.219
ZBTB22,False,False,0.301,-0.992
RFTN2,False,False,0.57,0.535
VENTX,False,True,0.019,-2.172
KRT72,True,True,0.0,-7.521
TFAP2A,False,False,0.201,2.308
DYSF,False,False,0.921,0.2
RPN1,False,False,0.237,-5.947
MMP28,False,False,0.896,-0.173
WRAP53,False,False,0.73,-0.388
AC011476.3,True,True,0.0,-3.998
HN1,False,False,0.673,4.484
ZNRF3,False,False,0.172,1.996
TBC1D23,False,False,0.403,-1.205
PTPRE,True,True,0.0,-21.759
NEIL3,False,False,0.641,0.97
HECW2,False,False,0.115,-1.085
OR1S1,False,False,0.758,-0.322
TTC1,False,False,0.579,-1.227
CSRP3,False,False,0.972,-0.026
MESDC1,False,False,0.384,1.248
KLHL2,False,True,0.037,3.491
ZNF578,False,False,0.225,-1.927
ATG4A,False,False,0.498,-0.821
PTX4,False,False,0.64,0.263
DCANP1,False,False,0.277,1.475
FAM124B,False,False,0.063,-1.897
LSM11,False,False,0.265,0.655
LONP2,False,False,0.547,0.461
PRAME,False,True,0.009,6.33
KRTAP10-4,False,False,0.914,-0.216
ZNF732,False,False,0.936,0.129
GDPD1,False,False,0.143,-1.053
RAB42,False,True,0.02,-1.292
PLD4,False,False,0.128,-51.059
ZNF570,False,False,0.189,-1.23
SLC44A1,True,True,0.001,3.366
NT5C,False,True,0.042,-3.178
HMGA2,False,False,0.08,3.169
NAPRT,False,False,0.207,2.32
NUP85,False,False,0.161,-3.395
TBCA,False,False,0.13,-52.727
CMTM8,False,False,0.939,0.06
PDIA6,False,True,0.014,16.719
RPS20,True,True,0.0,583.798
OR9Q2,False,False,0.436,-0.783
CYB561D2,True,True,0.0,-9.018
PIGO,False,True,0.02,-2.81
LRRD1,False,False,0.324,1.27
EPN3,False,False,0.328,-0.723
OR2T29,False,False,0.17,0.889
BRSK2,False,False,0.195,-1.688
C2orf54,False,False,0.545,1.015
ZW10,False,False,0.649,0.636
ZNF146,False,False,0.281,1.861
MYNN,False,False,0.363,-0.667
TRIM47,False,False,0.888,-0.152
TBX2,False,False,0.629,-0.774
KCTD18,False,True,0.042,-1.241
NFKBIL1,False,True,0.025,-2.203
ZNF471,False,False,0.104,1.067
PVR,False,False,0.768,0.542
PCDHA11,False,False,0.915,-0.165
MKNK2,True,True,0.0,46.322
BAZ1A,False,False,0.453,-1.375
ODF3L2,False,False,0.418,-0.725
RETNLB,False,False,0.603,0.295
KLHL10,False,False,0.152,-0.731
BPY2B,False,False,0.402,1.134
C16orf54,True,True,0.0,-13.009
CTCF,False,False,0.228,-1.057
CNOT6L,True,True,0.0,-19.491
FTSJ3,False,False,0.712,-0.762
OR4N4,False,False,0.076,-0.875
OR4D2,False,False,0.475,-0.89
POM121L12,False,False,0.814,0.27
SULT2B1,False,False,0.077,1.264
KLF8,True,True,0.0,6.3
FPGT,False,False,0.265,-1.356
CLPS,False,False,0.606,-0.201
NAV1,False,False,0.091,2.268
CARF,False,False,0.714,-0.414
MSI1,False,False,0.832,-0.236
PRDM15,False,False,0.766,0.585
FBXO48,False,False,0.588,0.588
ING2,False,True,0.021,-2.082
GABARAPL2,False,False,0.505,-2.225
ABCD4,True,True,0.0,-4.213
IFIT1,False,False,0.449,-9.853
TMEM230,False,True,0.009,-8.414
SLC25A6,True,True,0.0,58.221
EPS15,True,True,0.001,4.34
MPZL3,True,True,0.001,-4.698
CYP4F3,False,False,0.575,0.975
TMEM17,False,False,0.417,-1.159
URM1,False,False,0.949,-0.117
B3GNT2,True,True,0.004,-6.258
CDHR5,False,False,0.107,1.503
COX4I1,False,True,0.011,29.202
GPR174,True,True,0.003,-4.377
NEUROD1,False,False,0.324,-1.215
PHLDA3,False,False,0.178,-2.773
TIPIN,False,True,0.036,2.001
TRPV4,False,False,0.703,-0.373
PFKL,False,False,0.816,-1.044
CTU2,False,False,0.166,-1.674
C14orf80,False,False,0.229,-1.886
ZBTB18,True,True,0.0,13.626
ETV6,False,True,0.027,-7.238
GNA15,False,False,0.679,-1.193
BCO1,False,False,0.292,1.353
DASS-312M4.10,False,False,0.203,1.906
C12orf66,False,False,0.58,1.211
ZNF668,False,True,0.046,-2.588
LYPD8,False,False,0.303,0.997
ZNF431,False,False,0.913,-0.157
GLIPR1L2,False,False,0.575,-0.392
AKT3,False,False,0.138,-2.937
C11orf53,False,False,0.893,0.161
SHOX,False,False,0.842,-0.364
ACRBP,False,False,0.877,-0.105
ANKRD23,False,False,0.446,-0.915
SMIM13,False,False,0.516,0.861
CEP120,False,False,0.214,-1.92
KIR3DL2,True,True,0.0,-25.289
MFSD9,False,False,0.336,-1.236
GRAMD4,False,False,0.402,-2.277
CHRFAM7A,False,True,0.036,-2.175
NPIPA5,True,True,0.0,-9.819
IGFL3,False,False,0.787,0.182
MNS1,False,False,0.78,0.19
SFXN4,False,False,0.141,2.18
OR13J1,False,False,0.551,0.453
