,ci_test_results,z_test_results,z_test_p_values,mean_diff
RBMX2,False,False,0.488,-0.819
XIAP,False,False,0.222,-1.669
AGPAT5,True,True,0.0,7.166
MATK,True,True,0.0,-159.116
HDDC3,False,True,0.021,-2.216
FNDC9,False,False,0.342,1.327
FAM65C,False,True,0.042,2.705
TMUB1,True,True,0.001,-7.067
SLC12A5,False,False,0.609,-0.734
PTPN6,True,True,0.0,24.479
RNF213,True,True,0.0,-31.449
OTX2,False,False,0.093,2.694
TMEM160,False,True,0.011,-5.593
SKIL,False,False,0.1,4.087
ALPI,False,False,0.19,1.652
KSR1,True,True,0.0,-7.381
FRA10AC1,False,False,0.574,1.008
DNAJC7,False,False,0.286,2.59
ADCY6,False,False,0.427,0.786
ZNF326,False,False,0.121,1.56
SNCG,False,False,0.861,0.373
COG6,True,True,0.001,-6.612
POLR3B,False,False,0.106,2.815
RWDD1,True,True,0.0,-10.578
METTL13,False,False,0.973,0.019
CISD2,True,True,0.007,2.84
PANK1,False,False,0.149,-1.802
FAM9B,False,False,0.537,-0.413
FBXL7,False,False,0.423,0.694
MRE11A,False,True,0.011,-3.818
CCDC116,False,False,0.221,1.712
CCL25,False,False,0.352,-0.775
MRPS34,False,False,0.051,-6.118
NBPF6,False,False,0.082,-2.592
KRTAP26-1,False,False,0.164,-1.01
PSMD11,False,False,0.222,2.577
ZNF524,True,True,0.0,-5.268
SLC22A6,False,False,0.155,1.61
ETV3,False,False,0.275,-2.051
ARMC3,False,False,0.551,0.598
ZNF792,False,False,0.295,-1.159
PRSS16,False,False,0.16,-3.27
TIMM10,False,False,0.095,4.232
VGLL2,False,False,0.544,0.435
WDSUB1,True,True,0.007,-3.664
SCGB3A1,True,True,0.01,-4.148
PPP1R3F,False,False,0.615,-0.185
DNAJC16,True,True,0.001,1.323
BZRAP1,True,True,0.0,-77.268
UNCX,False,False,0.084,1.283
THOC7,False,True,0.008,-5.286
CT45A2,False,False,0.637,-0.623
ZMAT5,True,True,0.0,-4.371
ZBTB46,False,False,0.492,1.592
OR14C36,False,False,0.316,-2.01
NFE2L3,False,False,0.109,3.23
EXOC2,False,False,0.363,-0.948
OSM,False,False,0.514,-9.512
C10orf90,False,False,0.391,0.936
ELAC1,False,True,0.023,-1.885
GRB14,False,False,0.348,0.5
FCHO2,True,True,0.0,-1.843
TBCEL,False,False,0.932,-0.102
GART,True,True,0.002,4.617
OAZ2,False,True,0.008,-7.367
RPS6KB1,False,False,0.359,1.592
FAH,False,False,0.375,-1.401
ZNFX1,False,False,0.218,2.002
BORA,False,False,0.35,1.164
APOA2,False,False,0.563,-1.266
TCAP,False,False,0.272,-0.869
PLXNA3,False,True,0.021,3.097
ERCC6,False,False,0.27,-2.119
ERLIN2,False,False,0.42,0.703
POTEF,False,False,0.203,3.538
PLA2G2E,False,False,0.614,0.708
HYAL2,False,False,0.387,-3.019
PCDH1,False,True,0.019,-3.595
CNGA2,False,False,0.543,0.8
FGF12,False,False,0.314,1.648
